Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
18969324888,"Áo tay ngắn form bigsize đi chơi nhóm phong cách streetwear, áo tay lỡ ngầu cổ tròn vải đẹp cotton TẾT 2025",₫83.000,0,Mahy fashion,"2,4%",₫1.660,https://shopee.vn/product/883097884/18969324888,https://s.shopee.vn/7ANEGIGoyz
23227621118,"Áo thun Tết 2025 Unisex Nam Nữ 💖Áo Thun Gia Đình Xuân, Chất  cotton mát mịn in Hình siêu dễ thương  - SSSHOP 13",₫89.000,11,SSSHOP - TIEM IN AO THUN,"2,4%",₫1.780,https://shopee.vn/product/377542671/23227621118,https://s.shopee.vn/6fQxfNIizu
20956474561,"Áo thun tết ất tỵ 2025, áo thun gia đình tết 2025 năm con rắn, vải dày mịn mát, in cao cấp- đủ size bé - lớn,100 mẫu tết",₫69.000,10,Áo thun unisex giá xưởng 2025,"9,4%",₫6.210,https://shopee.vn/product/373861408/20956474561,https://s.shopee.vn/6pkNrgI5ex
21670330152,Áo Thun LUÔN VUI TƯƠI Tết 2025 - HC0700 - T123 - Vải Cotton 4C may dây cổ hàng CAO CẤP (Hình thật),₫148.500,21,fbhocha89,"12,4%",₫17.820,https://shopee.vn/product/156434316/21670330152,https://s.shopee.vn/8zosRf9qGO
18674523071,"Áo thun Tết 2025 Unisex Nam Nữ 💖Áo Thun Gia Đình Xuân, Chất  cotton mát mịn in Hình siêu dễ thương  - SSSHOP 10",₫89.000,29,SSSHOP - TIEM IN AO THUN,"2,4%",₫1.780,https://shopee.vn/product/377542671/18674523071,https://s.shopee.vn/9A8Idy9CvR
17684227421,(blum.clt) -  Mẫu Tết 2025 Áo len tiểu thư màu trắng kem cột nơ đen Fin top,₫255.000,1,blum.clt,"2,4%",₫5.100,https://shopee.vn/product/76927363/17684227421,https://s.shopee.vn/8fC233B6wM
16393726698,Áo phông áo thun có bigsize 110kg tay lỡ form rộng unisex cotton local brand TẾT 2025 MY DNA BY May Minh Thành nóc nhà,₫148.920,0,MY DNA by May Minh Thành,"4,4%",₫5.957,https://shopee.vn/product/252412058/16393726698,https://s.shopee.vn/8pVSFMATbP
19455901135,"Áo thun tết ất tỵ 2025, áo thun gia đình tết 2025 năm con rắn, vải dày mịn mát, in cao cấp- đủ size bé - lớn,100 mẫu tết",₫69.000,41,Áo thun unisex giá xưởng 2025,"9,4%",₫6.210,https://shopee.vn/product/373861408/19455901135,https://s.shopee.vn/8KZBeRCNcK
20170331079,Áo Thun  HƠI MỆT HAPPY NEW YEAR Tết 2025 - HC0699 - T123 - Vải Cotton 4C may dây cổ hàng CAO CẤP (Hình thật),₫148.500,2,fbhocha89,"12,4%",₫17.820,https://shopee.vn/product/156434316/20170331079,https://s.shopee.vn/8UsbqkBkHN
15419898288,áo tết 2025 áo thun lễ tết in chữ hoa mừng xuân đến,₫59.000,2,Khải Hoàng áo in,"2,4%",₫1.180,https://shopee.vn/product/90346937/15419898288,https://s.shopee.vn/7zwLFpDeII
