Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
19527695224,"Nước Tẩy Trang L'Oreal Paris 3in1 Micellar Water 95ml - 400ml, Làm Sạch, Dưỡng Ẩm Cho Mọi Loại Da Loreal- Dr Thêm",₫35.000,"34,1k",Dr Thêm Cosmetics,"2,4%",₫700,https://shopee.vn/product/18363975/19527695224,https://s.shopee.vn/1VirWPXrZH
18520199537,Nước tẩy trang Garnier 50ml 125ml size mini tiện dụng,₫29.000,"5,5k",MyphamHaThanh93,"2,4%",₫580,https://shopee.vn/product/6985656/18520199537,https://s.shopee.vn/10mavUZlaC
19645792464,Nước tẩy trang sạch sâu dưỡng ẩm Hada Labo Micellar Water Hydrating 240ml,₫114.000,"21,6k",HADA LABO CHÍNH HÃNG,"9,4%",₫10.260,https://shopee.vn/product/95753434/19645792464,https://s.shopee.vn/1B617nZ8FF
7083691610,"Dầu tẩy trang, nước tẩy trang ý dĩ Hatomugi Nhật Bản 500ml",₫113.000,"22,6k",Hàng Nhật chuẩn Javihey,"2,4%",₫2.260,https://shopee.vn/product/391102704/7083691610,https://s.shopee.vn/g9kWsb2GA
1226041496,Nước tẩy trang làm sạch sâu dành cho da dầu Effaclar Micellar Water 400ml,₫440.000,"101,2k",La Roche-Posay Chính Hãng,"10,4%",₫44.000,https://shopee.vn/product/37251700/1226041496,https://s.shopee.vn/qTAjBaOvD
13482445523,Bộ 02 Nước tẩy trang Micellar Dưỡng Sáng Cấp ẩm Senka All Clear Water Bright 230ml/chai,₫192.000,"27,2k",Senka by FT Official Store,"12,4%",₫23.040,https://shopee.vn/product/27495213/13482445523,https://s.shopee.vn/LWu8GcIw8
12482461369,Bộ 02 Nước tẩy trang Micellar Giảm Bóng Nhờn Senka All Clear Water Fresh 230ml/chai,₫184.000,"14,7k",Senka by FT Official Store,"12,4%",₫22.080,https://shopee.vn/product/27495213/12482461369,https://s.shopee.vn/VqKKZbfbB
1226033104,Nước tẩy trang làm sạch sâu cho da nhạy cảm Micellar Water Sensitive Skin 400ml,₫471.000,"182,3k",La Roche-Posay Chính Hãng,"10,4%",₫47.100,https://shopee.vn/product/37251700/1226033104,https://s.shopee.vn/u3jedZc6
18651833058,Nước Tẩy Trang Và Làm Sạch Sâu Cho Da Dầu Khô Mụn Nhạy Cảm An Toàn Cỏ Mềm 150ml,₫99.000,"55,1k",Cỏ Mềm Official Store,"4,4%",₫3.960,https://shopee.vn/product/134371556/18651833058,https://s.shopee.vn/BDTvxcwH9
4895693526,Nước Tẩy Trang Cho Da Dầu Mụn Micellar Water Garnier 400Ml,₫145.000,"33,7k",Guardian HCM Official Store,"12,4%",₫17.400,https://shopee.vn/product/152872415/4895693526,https://s.shopee.vn/50IjgqKXT6
6139202472,Nước Tẩy Trang Byphasse Dành Cho Mọi Loại Da 500ml,₫50.000,"28,6k",Gloria Beauty HN,"2,4%",₫1.000,https://shopee.vn/product/231547049/6139202472,https://s.shopee.vn/5Ac9t9Ju89
15067872923,Nước tẩy trang Loreal - L'Oreal Paris 3-in-1 Micellar Water 400ml [ Có tem phụ đề ],₫160.000,"7,4k",Supiman Cosmetic,"4,4%",₫6.400,https://shopee.vn/product/661742884/15067872923,https://s.shopee.vn/4fftIELo94
22821394608,Bộ 2 Nước tẩy trang Garnier Cho Da Dầu Mụn Salicylic BHA Micellar 400ml x 2 (mới),₫310.000,"64,7k",Garnier Official Store,"12,4%",₫37.200,https://shopee.vn/product/421677475/22821394608,https://s.shopee.vn/4pzJUXLAo7
18683301382,Bộ 2 Nước tẩy trang dành cho da dầu mụn & trang điểm Garnier Micellar Water (400mlX2),₫339.000,"9,9k",Garnier Official Store,"10,4%",₫33.900,https://shopee.vn/product/421677475/18683301382,https://s.shopee.vn/4L32tcN4p2
