Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
28255897940,Khô gà vị lá chanh G 22g thương hiệu G Kitchen,₫11.000,208,G Kitchen Store,"2,4%",₫220,https://shopee.vn/product/212014766/28255897940,https://s.shopee.vn/9A8Ieyodj5
29070427620,combo TẾT: gồm 1 hũ mái tôn + 1 hũ đùi gà mix 7 vị + 1 hũ chịu + 1 hũ khô gà + 1 hũ khô bò + 1 hũ khô heo,₫280.000,32,Ăn Cùng Bà Tuyết,"12,4%",₫33.600,https://shopee.vn/product/279658061/29070427620,https://s.shopee.vn/9KRirHo0O8
23877065366,Khô Chay - Khô Gà Lá Chanh Chay - Món Ăn Thuần Chay - Gói 200gr và 1kg Nhà Làm,₫40.000,"1,7k",bao ngọc shop,"2,4%",₫800,https://shopee.vn/product/23459708/23877065366,https://s.shopee.vn/9Ul93anN3B
27257174865,Khô 3 Vị Mix hộp 300gr : KHÔ GÀ + KHÔ HEO + MỰC SỢI HẤP DỪA Ăn Vặt ngon rẻ Hà Nội,₫16.000,311,Ăn Vặt Hà Nội - tuanvietfood,"2,4%",₫320,https://shopee.vn/product/391695483/27257174865,https://s.shopee.vn/9f4ZFtmjiE
1329722741,KHÔ GÀ BƠ TỎI ( GIÒN NGON - ĐẬM VỊ ) - 100GR | YOTAFOOD,₫19.000,"10,3k",YOTAFOOD,"7,4%",₫1.330,https://shopee.vn/product/63963995/1329722741,https://s.shopee.vn/9pNzSCm6NH
24366218882,"500g khô bò sợi, 500g khô gà lá chanh",₫135.000,660,tritin2016,"4,4%",₫5.400,https://shopee.vn/product/85315428/24366218882,https://s.shopee.vn/9zhPeVlT2K
17195717954,Combo 4 Hủ Khô Gà Lá Chanh / Bơ Tỏi 500Gram,₫299.000,455,Cô Diệp FOOD - Kho Buôn Sỉ SLL,"2,4%",₫5.980,https://shopee.vn/product/43978717/17195717954,https://s.shopee.vn/AA0pqokphN
4810048569,[ 1kg ] Ruốc gà cay (chà bông gà cay),₫195.000,"5,9k",Chà bông cao cấp 1,"2,4%",₫3.900,https://shopee.vn/product/69745439/4810048569,https://s.shopee.vn/AKKG37kCMQ
21681166862,1Kg Khô gà lá chanh,₫49.000,"3,2k",Ăn vặt Như Tâm,"4,4%",₫1.960,https://shopee.vn/product/115494230/21681166862,https://s.shopee.vn/AUdgFQjZ1T
1933269269,Cơm Cháy Lắc Khô Gà 100G / 250G / 500G,₫17.000,"2,3k",Ăn_Vặt_Rẻ,"6,4%",₫1.020,https://shopee.vn/product/101410599/1933269269,https://s.shopee.vn/BDTwRMtzU
26909771158,KHÔ GÀ LÁ CHANH - 300gr - Ăn Vặt Nhà Ann - đồ ăn vặt Hà Nội,₫52.500,141,Tiệm Ăn Vặt Nhà Ann,"4,4%",₫2.100,https://shopee.vn/product/852588291/26909771158,https://s.shopee.vn/u3k8NXKT
26909140208,"Cơm cháy nếp, giòn xốp cùng topping khô gà mắm hành, khô bò cay, chà bông, rong biển, gói 100g tiện lợi",₫15.900,402,Ngon Lành Shop - Trái cây sấy,"2,4%",₫318,https://shopee.vn/product/1275152626/26909140208,https://s.shopee.vn/VqKL3LdJa
11378319457,"Khô gà, gà xé cay thơm ngon loại 1 túi 100Gr",₫18.000,"1,2k",Bonbeshop -Thiên Đường Ăn Vặt,"2,4%",₫360,https://shopee.vn/product/529464472/11378319457,https://s.shopee.vn/LWu8kMGeZ
2997142626,1 KG- Khô gà lá chanh/ bơ tỏi loại 1 không pha bột (có video),₫54.000,"2,3k",AN NHIÊN Foods - Ngon & Rẻ,"4,4%",₫2.160,https://shopee.vn/product/54596546/2997142626,https://s.shopee.vn/qTAjfKMdg
22706457745,CHÀ BÔNG GÀ CAY VIEFU 1KG HOẢ TỐC,₫95.000,990,CHÀ BÔNG VIỆT FOODs,"2,4%",₫1.900,https://shopee.vn/product/321895847/22706457745,https://s.shopee.vn/g9kXMKzyf
2120005103,"KHÔ GÀ LÁ CHANH hộp 500g, Khô gà giòn, Gà khô Ăn Vặt Văn Phòng, Đặc sản Sài Gòn | KHA GỒ",₫73.125,"1,3k",Khô Gà KHA GỒ,"12,4%",₫8.775,https://shopee.vn/product/84604947/2120005103,https://s.shopee.vn/1B618HJ5xm
3257347322,Khô Gà Lá Chanh Hũ 300G| Hàng chất lượng lượng hạng - SP014,₫70.000,"1,5k",Tasty Food,"12,4%",₫8.400,https://shopee.vn/product/310513617/3257347322,https://s.shopee.vn/10mavyJjIl
7347384940,(HŨ 300G) GÀ SẤY LÁ CHANH CHÀ CHÀ THẢO NGUYÊN PHÁT (TNP) - Hàng chính hãng. Khô gà lá chanh sạch. Cam kết chất lượng.,₫141.000,691,Thảo Nguyên Phát Official,"2,4%",₫2.820,https://shopee.vn/product/298041318/7347384940,https://s.shopee.vn/1VirWtHpHs
27718950227,"Thịt Gà Sấy Lá Chanh, Hàng Xuất Khẩu, Chuẩn Vị Truyền Thống - Khô Bò Nhà Ta Food - Đồ Ăn Vặt Khô Gà",₫96.000,100,Khô Bò Nhà Ta Food,"2,4%",₫1.920,https://shopee.vn/product/1402480469/27718950227,https://s.shopee.vn/1LPRKaIScr
5046522009,[ 500g ] Ruốc gà cay (chà bông gà cay),₫100.000,"3,1k",Chà bông cao cấp 1,"2,4%",₫2.000,https://shopee.vn/product/69745439/5046522009,https://s.shopee.vn/1qLhvVGYby
29218318005,Combo 2 Hộp Khô Gà Lá Chanh - 200G/Hộp Thu Chill Snack - Thương Hiệu - Ăn Vặt Chữa Lành,₫230.000,108,THU CHILLSNACK,"10,4%",₫23.000,https://shopee.vn/product/1407960350/29218318005,https://s.shopee.vn/1g2HjCHBwx
28018070889,"Thịt Gà Lá Chanh Sấy, Hàng Xuất Khẩu, Chuẩn Vị Truyền Thống, Thích Hợp Biếu Tặng - Nước Mắm Ba Làng Nhà Ta",₫96.000,98,Nước Mắm Ba Làng Nhà Ta,"2,4%",₫1.920,https://shopee.vn/product/1401576841/28018070889,https://s.shopee.vn/2AyYK7FHw4
22071065285,(Tặng 1 Gói Bánh) Set Gồm 3 Túi Bánh Tráng Mix Khô Bò/ Khô Gà/ Chà Bông Đặc Sản Long An Full Topping ( 100g/1 BỊch),₫20.000,"1,5k",Hong Anh Clean Food,"9,4%",₫1.800,https://shopee.vn/product/73281764/22071065285,https://s.shopee.vn/20f87oFvH3
11356175013,1kg chà bông gà loại thượng hạng cho bữa ăn ngon hiệu SK FOOD,₫199.000,"2,2k",SK FOOD,"4,4%",₫7.960,https://shopee.vn/product/25632795/11356175013,https://s.shopee.vn/2VbOijE1GA
1792652661,1kg khô gà lá chanh 2 túi zip 500g,₫149.000,"6,2k",tritin2016,"4,4%",₫5.960,https://shopee.vn/product/85315428/1792652661,https://s.shopee.vn/2LHyWQEeb9
1212932359,Cơm cháy chiên mắm lắc khô gà ( Giòn ngon – Đậm vị ) – 500Gram | Yotafood,₫55.000,"29,9k",YOTAFOOD,"7,4%",₫3.850,https://shopee.vn/product/63963995/1212932359,https://s.shopee.vn/2qEF7LCkaG
8235621006,cơm cháy lắc khô gà lá chanh - giá sỉ 250g / 500g,₫17.000,"1,1k",DaiLyBanh,"4,4%",₫680,https://shopee.vn/product/372138018/8235621006,https://s.shopee.vn/2fuov2DNvF
23383828323,"Combo Hay Ăn Chóng Lớn, Combo 5 hũ đồ ăn vặt khô gà, khô bò, khô mực, khô heo, da heo, cơm cháy nhà Mymart",₫80.000,805,Tiệm tạp hòa Mymart,"11,4%",₫8.800,https://shopee.vn/product/845775160/23383828323,https://s.shopee.vn/3Ar5VxBTuM
24071210649,Khô Mix 3 Vị : Khô Gà + Khô Heo + Mực sợi - Hộp 300g - ăn văt ngon rẻ │ Đồ ăn vặt haovosnack,₫42.500,170,Haovo Fastfood & Snacks,"2,4%",₫850,https://shopee.vn/product/1217746870/24071210649,https://s.shopee.vn/30XfJeC7FL
29214544424,COMBO 10 Gói Khô Bò/Khô Gà Fansipan Chính Hãng Đảm Bảo ATTP,₫87.120,98,Nguyên liệu pha chế Thạo Nga,"2,4%",₫1.742,https://shopee.vn/product/1377744596/29214544424,https://s.shopee.vn/3VTvuZADES
23838209158,Cơm Cháy Chà Bông Gà/ Cua/ Heo Thái Lan Jornguan 90g - Lam Gourmet,₫29.000,"1,8k",Lam Gourmet- NK bánh kẹo,"2,4%",₫580,https://shopee.vn/product/982297027/23838209158,https://s.shopee.vn/3LAViGAqZR
27701931680,COMBO CƠM CHÁY KHOAI MÔN Cơm Cháy Đáy Nồi + Khoai Môn Lắc Vị (Tặng Sốt Thái +Bơ Hột Gà) Bếp Chè Thái,₫259.000,651,Bếp Chè Thái.,"7,4%",₫18.130,https://shopee.vn/product/343514920/27701931680,https://s.shopee.vn/3q6mJB8wYY
8265412340,Khô Gà Lá Chanh Túi Zip 500gr,₫71.200,"1,3k",Ăn Vặt Linh Foods,"2,4%",₫1.424,https://shopee.vn/product/162978076/8265412340,https://s.shopee.vn/3fnM6s9ZtX
24475122012,KHÔ GÀ LÁ CHANH LOẠI NGON XUẤT KHẨU - 1KG (2hộp 500GR),₫126.900,357,Đồ Ăn Vặt Gia Lai market,"4,4%",₫5.076,https://shopee.vn/product/376786684/24475122012,https://s.shopee.vn/4Ajchn7fse
29955893067,"Combo 1,5kg 3 hủ Khô Gà Lá Chanh, Bơ Tỏi, Khô Heo Cháy Tỏi 500gr đồ ăn vặt haovosnack",₫195.000,375,Haovo Fastfood & Snacks,"2,4%",₫3.900,https://shopee.vn/product/1217746870/29955893067,https://s.shopee.vn/40QCVU8JDd
18839488956,Khô gà lá chanh (túi zip giấy thân thiện với môi trường),₫12.900,"1,8k",Ăn vặt ngon Toryo,"4,4%",₫516,https://shopee.vn/product/138831583/18839488956,https://s.shopee.vn/4VMT6P6PCk
17846393468,Khô Gà Lá Chanh G Kitchen 22g,₫10.000,996,Hai A Food,"9,4%",₫900,https://shopee.vn/product/43968384/17846393468,https://s.shopee.vn/4L32u672Xj
25385011776,Bánh chà bông  jambon Gà và Heo  M&D - Thái Lan,₫27.999,488,Shop ViệtHương Sỉ Lẻ Tiêu Dùng,"6,4%",₫1.680,https://shopee.vn/product/69792537/25385011776,https://s.shopee.vn/4pzJV158Wq
25568518544,Khô Gà Lá Chanh Thơm Ngon POSI (SP chất lượng cao),₫11.900,430,POSI ONLINE (Ăn Vặt Bao Ngon),"2,4%",₫238,https://shopee.vn/product/1206398588/25568518544,https://s.shopee.vn/4fftIi5lrp
25021794115,Khô Gà Lá Chanh 500g - Ăn Vặt Luna Food,₫72.999,"2,4k",Ăn Vặt Luna Food,"8,4%",₫5.840,https://shopee.vn/product/947315189/25021794115,https://s.shopee.vn/5Ac9td3rqw
24856684102,Khô Gà Lá Chanh 400Gram Loại Ngon Đạt Chuẩn ATVSTP Giòn Ngon – Đậm Vị Đồ ăn vặt Vidafood 1000698,₫69.000,52,ViDa Food,"2,4%",₫1.380,https://shopee.vn/product/1139520947/24856684102,https://s.shopee.vn/50IjhK4VBv
7656452063,Cơm cháy khô gà 300g Dumbum đồ ăn vặt Hà Nội vừa ngon vừa rẻ,₫60.000,"31,6k",Ăn vặt Dum Bum,"2,4%",₫1.200,https://shopee.vn/product/309097743/7656452063,https://s.shopee.vn/5VF0IF2bB2
25476000153,Set 2 món siêu ưu đãi MIXIFOOD Khô gà lá chanh 500G và Heo khô cháy tỏi 200G,₫298.900,710,Mixi_Food,"2,4%",₫5.978,https://shopee.vn/product/790953918/25476000153,https://s.shopee.vn/5Kva5w3EW1
28009257378,"mực hấp cốt dừa xé sợi , khô gà , khô bò",₫15.000,308,xưởng pizza chuyên sỉ,"4,4%",₫600,https://shopee.vn/product/1187834254/28009257378,https://s.shopee.vn/5prqgr1KV8
28967143246,Táo dẻo Hằng Du Mục chính hãng - Quả Táo Size To Bằng Quả Trứng Gà - Túi sẵn chính hãng 1kg,₫56.000,72,NHÀ SÁCH ĐĂNG KHÔI,"2,4%",₫1.120,https://shopee.vn/product/43824877/28967143246,https://s.shopee.vn/5fYQUY1xq7
1320238759,Khô Gà Lá Chanh VIETTINMART 500G,₫79.000,978,VietTin Mart,"9,4%",₫7.110,https://shopee.vn/product/74670232/1320238759,https://s.shopee.vn/6AUh5T03pE
26019057948,"Thịt Gà Sấy Lá Chanh, Hàng Xuất Khẩu, Chuẩn Vị Truyền Thống - Nông Sản Việt Nhà Ta Food - Đồ Ăn Vặt Khô Gà",₫96.000,87,Nông Sản Việt Nhà Ta Food,"2,4%",₫1.920,https://shopee.vn/product/1402460808/26019057948,https://s.shopee.vn/60BGtA0hAD
9019093466,( Hũ 500G) CHÀ BÔNG GÀ SỢI/XÙ BÔNG/XÙ CAY- RUỐC GÀ LOẠI ĐẶC BIỆT NGON,₫79.000,"1,7k",Tanmai_shop2,"4,4%",₫3.160,https://shopee.vn/product/83387612/9019093466,https://s.shopee.vn/6V7XU4yn9K
12019070235,"[Gói nhỏ 55g] Khô gà DumBum gói tiện lợi, hàng loại 1 siêu ngon, không độn bột",₫23.500,3k,Ăn vặt Dum Bum,"2,4%",₫470,https://shopee.vn/product/309097743/12019070235,https://s.shopee.vn/6Ko7HlzQUJ
11123593747,bò gà sấy khô 10 .gói,₫15.000,663,nnkeqpdqqe,"2,4%",₫300,https://shopee.vn/product/423976344/11123593747,https://s.shopee.vn/6pkNsgxWTQ
2196816109,100Gr khô gà lá chanh lọai 1 | KingFood - Thế Giới Đồ Ăn Vặt - Đồ Ăn Vặt Hà Nội,₫16.000,"1,7k",Ăn Vặt King Food,"10,4%",₫1.600,https://shopee.vn/product/28658844/2196816109,https://s.shopee.vn/6fQxgNy9oP
1755435363,Khô Gà Bơ Tỏi ( Giòn ngon - Đậm vị ) 500gr | Đồ ăn vặt Nàng Khô,₫78.000,"5,2k",Nàng Khô,"7,4%",₫5.460,https://shopee.vn/product/69897949/1755435363,https://s.shopee.vn/7ANEHIwFnW
27310617048,"Combo Khô 3 vị : Khô gà lá chanh, khô heo cháy tỏi, mực sợi hấp dừa túi 100gr đồ ăn vặt haovosnack",₫21.000,199,Haovo Fastfood & Snacks,"2,4%",₫420,https://shopee.vn/product/1217746870/27310617048,https://s.shopee.vn/703o4zwt8V
21895739750,"2k 1 Viên Lương Khô Energy Quân Đội Vị Ruốc Thịt Gà, Hàng Chính hãng Chất Lượng Cao",₫1.900,"1,2k",Cửa hàng Bà Xã,"14,4%",₫266,https://shopee.vn/product/203201793/21895739750,https://s.shopee.vn/7V04fuuz7c
24226283650,[ COMBO 1 VỊT + 1 ĐÙI GÀ] Vịt cỏ sấy khô sốt cay MINH CHÂU FOOD đồ ăn vặt giá rẻ đồ ăn nội địa ngon,₫225.420,224, Minh Châu Food,"12,4%",₫27.050,https://shopee.vn/product/989622997/24226283650,https://s.shopee.vn/7KgeTbvcSb
20159292607,khô gà lá chanh cay10 gói,₫15.000,666,nnkeqpdqqe,"2,4%",₫300,https://shopee.vn/product/423976344/20159292607,https://s.shopee.vn/7pcv4WtiRi
9329834655,1.KG Cơm Cháy Lắc Khô Gà - Giòn ngon - Đậm Vị,₫54.000,314,Thực Phẩm Sạch_N.Food,"2,4%",₫1.080,https://shopee.vn/product/127306618/9329834655,https://s.shopee.vn/7fJUsDuLmh
15363971650,Khô Gà Lá Chanh 💖TIGER FOOD💖 Gói Dùng Thử Túi Zip 50g Khô Gà Lá Chanh - Bơ Tỏi Đậm Vị Siêu Ngon Nhà Làm,₫12.600,"3,4k",Ăn Vặt Tiger Food,"5,4%",₫630,https://shopee.vn/product/707424749/15363971650,https://s.shopee.vn/8AFlT8sRlo
1286707613,KHÔ GÀ LÁ CHANH SIÊU NGON | GIÒN NGON ĐẬM VỊ | ĐỒ ĂN VẶT NÀNG KHÔ,₫10.000,"10,6k",Nàng Khô,"7,4%",₫700,https://shopee.vn/product/69897949/1286707613,https://s.shopee.vn/7zwLGpt56n
20721937325,GẠO FOOD - CƠM CHÁY CHÀ BÔNG GÀ - 250G,₫70.000,"3,8k",GẠO FOOD,"2,4%",₫1.400,https://shopee.vn/product/4930536/20721937325,https://s.shopee.vn/8UsbrkrB5u
